date,rate
2005/1/1,0.0119
2005/2/1,0.0009
2005/3/1,0.0059
2005/4/1,0.0456
2005/5/1,0.0953
2005/6/1,0.9731
2005/7/1,0.9771
2005/8/1,0.1777
2005/9/1,0.0734
2005/10/1,0.0347
2005/11/1,0.0387
2005/12/1,0.0228
2006/1/1,0.0168
2006/2/1,0.0158
2006/3/1,0.0476
2006/4/1,0.1221
2006/5/1,0.3495
2006/6/1,0.6971
2006/7/1,0.7735
2006/8/1,0.3008
2006/9/1,0.2015
2006/10/1,0.1837
2006/11/1,0.1668
2006/12/1,0.132
2007/1/1,0.0744
2007/2/1,0.0248
2007/3/1,0.0635
2007/4/1,0.426
2007/5/1,5.9333
2007/6/1,12.6551
2007/7/1,10.9371
2007/8/1,5.1746
2007/9/1,1.7278
2007/10/1,0.984
2007/11/1,0.8261
2007/12/1,0.5024
2008/1/1,0.2353
2008/2/1,0.0953
2008/3/1,0.2601
2008/4/1,1.3584
2008/5/1,12.2529
2008/6/1,7.3871
2008/7/1,4.3822
2008/8/1,2.0178
2008/9/1,1.1618
2008/10/1,1.1767
2008/11/1,1.553
2008/12/1,0.8629
2009/1/1,0.3713
2009/2/1,0.4994
2009/3/1,7.6969
2009/4/1,24.6568
2009/5/1,20.6986
2009/6/1,26.9815
2009/7/1,25.9934
2009/8/1,14.9996
2009/9/1,6.7893
2009/10/1,4.7933
2009/11/1,3.1747
2009/12/1,1.6345
2010/1/1,0.7775
2010/2/1,0.7993
2010/3/1,3.6652
2010/4/1,11.098
2010/5/1,26.0441
2010/6/1,38.0587
2010/7/1,29.0003
2010/8/1,11.7455
2010/9/1,6.2918
2010/10/1,4.1299
2010/11/1,5.2024
2010/12/1,3.6682
2011/1/1,1.6325
2011/2/1,0.6544
2011/3/1,3.0356
2011/4/1,6.3454
2011/5/1,17.4842
2011/6/1,23.5615
2011/7/1,19.6708
2011/8/1,9.2967
2011/9/1,4.0872
2011/10/1,3.0396
2011/11/1,3.8231
2011/12/1,2.5431
2012/1/1,0.9076
2012/2/1,0.7596
2012/3/1,1.2373
2012/4/1,4.9422
2012/5/1,21.2636
2012/6/1,23.7015
2012/7/1,17.651
2012/8/1,7.7644
2012/9/1,3.5103
2012/10/1,2.8092
2012/11/1,2.4617
2012/12/1,1.2154
2013/1/1,0.4627
2013/2/1,0.3197
2013/3/1,1.4319
2013/4/1,3.8618
2013/5/1,11.2172
2013/6/1,16.7563
2013/7/1,14.8308
2013/8/1,9.6224
2013/9/1,4.553
2013/10/1,3.0555
2013/11/1,3.1856
2013/12/1,2.41
2014/1/1,0.9006
2014/2/1,0.7894
2014/3/1,3.1002
2014/4/1,11.392
2014/5/1,20.9786
2014/6/1,28.051
2014/7/1,23.2725
2014/8/1,10.8378
2014/9/1,6.4099
2014/10/1,5.4447
2014/11/1,4.8439
2014/12/1,2.136
2015/1/1,0.8758
2015/2/1,0.5531
2015/3/1,1.1141
2015/4/1,3.985
2015/5/1,15.2012
2015/6/1,22.5317
2015/7/1,19.1306
2015/8/1,14.4624
2015/9/1,4.6424
2015/10/1,2.3554
2015/11/1,2.0277
2015/12/1,1.3594
2016/1/1,0.6265
2016/2/1,0.3396
2016/3/1,0.7537
2016/4/1,2.3584
2016/5/1,9.2411
2016/6/1,20.6857
2016/7/1,26.2029
2016/8/1,17.7364
2016/9/1,7.4258
2016/10/1,4.0853
2016/11/1,3.2769
2016/12/1,1.7328
2017/1/1,0.6941
2017/2/1,0.4329
2017/3/1,0.9602
2017/4/1,2.9721
2017/5/1,11.1854
2017/6/1,16.2747
2017/7/1,25.1315
2017/8/1,16.4941
2017/9/1,7.8399
2017/10/1,4.8419
2017/11/1,4.4924
2017/12/1,1.5511
2018/1/1,0.4855
2018/2/1,0.1529
2018/3/1,0.4309
2018/4/1,2.4259
2018/5/1,12.4952
2018/6/1,20.7483
2018/7/1,24.2725
2018/8/1,20.0591
2018/9/1,9.8438
2018/10/1,3.9145
2018/11/1,3.405
2018/12/1,2.692
2019/1/1,1.0665
2019/2/1,0.3833
2019/3/1,0.7407
2019/4/1,2.417
2019/5/1,8.5072
2019/6/1,16.4862
2019/7/1,18.8804
2019/8/1,11.9659
2019/9/1,5.8211
2019/10/1,4.0863
2019/11/1,4.12
2019/12/1,2.0218
